"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Получение списка курсов","LMS service","Thu Jul 10 09:48:56 GMT 2025","passed","Thu Jul 10 09:48:56 GMT 2025","Update entity","Courses","",""
"","15","Удаление задания","LMS service","Thu Jul 10 09:48:59 GMT 2025","passed","Thu Jul 10 09:48:59 GMT 2025","Delete entity","Exercises","",""
"","32","Создание файла","LMS service","Thu Jul 10 09:49:01 GMT 2025","passed","Thu Jul 10 09:49:01 GMT 2025","Create entity","Files","",""
"","26","Создание курса","LMS service","Thu Jul 10 09:48:57 GMT 2025","passed","Thu Jul 10 09:48:57 GMT 2025","Create entity","Courses","",""
"","15","Получение файла по некорректному file_id","LMS service","Thu Jul 10 09:49:04 GMT 2025","passed","Thu Jul 10 09:49:04 GMT 2025","Validate entity","Files","",""
"","280","Создание пользователя","LMS service","Thu Jul 10 09:49:05 GMT 2025","passed","Thu Jul 10 09:49:05 GMT 2025","Create entity","Users","",""
"","12","Получение информации о пользователе","LMS service","Thu Jul 10 09:49:06 GMT 2025","passed","Thu Jul 10 09:49:06 GMT 2025","Get entity","Users","",""
"","16","Обновление данных задания","LMS service","Thu Jul 10 09:48:59 GMT 2025","passed","Thu Jul 10 09:48:59 GMT 2025","Update entity","Exercises","",""
"","280","Авторизация пользователя","LMS service","Thu Jul 10 09:48:54 GMT 2025","passed","Thu Jul 10 09:48:55 GMT 2025","Login","Authentication","",""
"","281","Создание пользователя","LMS service","Thu Jul 10 09:49:04 GMT 2025","passed","Thu Jul 10 09:49:05 GMT 2025","Create entity","Users","",""
"","17","Удаление файла","LMS service","Thu Jul 10 09:49:04 GMT 2025","passed","Thu Jul 10 09:49:04 GMT 2025","Validate entity","Files","",""
"","31","Создание файла с пустой директорией","LMS service","Thu Jul 10 09:49:03 GMT 2025","passed","Thu Jul 10 09:49:03 GMT 2025","Validate entity","Files","",""
"","18","Создание задания","LMS service","Thu Jul 10 09:48:57 GMT 2025","passed","Thu Jul 10 09:48:57 GMT 2025","Create entity","Exercises","",""
"","25","Обновление данных курса","LMS service","Thu Jul 10 09:48:55 GMT 2025","passed","Thu Jul 10 09:48:55 GMT 2025","Get entities","Courses","",""
"","13","Получение списка заданий","LMS service","Thu Jul 10 09:49:00 GMT 2025","passed","Thu Jul 10 09:49:00 GMT 2025","Get entities","Exercises","",""
"","283","Создание пользователя","LMS service","Thu Jul 10 09:49:05 GMT 2025","passed","Thu Jul 10 09:49:05 GMT 2025","Create entity","Users","",""
"","12","Получение данных задания","LMS service","Thu Jul 10 09:48:58 GMT 2025","passed","Thu Jul 10 09:48:58 GMT 2025","Get entity","Exercises","",""
"","32","Создание файла с пустым названием","LMS service","Thu Jul 10 09:49:02 GMT 2025","passed","Thu Jul 10 09:49:02 GMT 2025","Delete entity","Files","",""
"","12","Получение файла","LMS service","Thu Jul 10 09:49:02 GMT 2025","passed","Thu Jul 10 09:49:02 GMT 2025","Get entity","Files","",""
